producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
5 Avisos Subsimples Combo Suscrip,0,0,0,10699,$675.00,$783.00,-,-,-,-,-,-
10 subsimples combo,0,0,0,10418,"$1,350.00","$1,566.00",-,-,-,-,-,-
Aviso Simple Combo,1,0,0,8603,"$1,135.35","$1,317.01",8600,-,-,8601,-,-
Aviso Destacado Combo,0,1,0,8599,"$2,573.10","$2,984.80",8596,-,-,8597,-,-
Aviso Superdestacado Combo,0,0,1,8607,"$3,547.80","$4,115.45",8604,-,-,8605,-,-
5 Avisos Simples Combo,5,0,0,8635,"$2,065.50","$2,395.98",8632,-,-,8633,-,-
5 Avisos Destacados Combo,0,5,0,8631,"$3,341.25","$3,875.85",8628,-,-,8629,-,-
5 Avisos Superdestacados Combo,0,0,5,8639,"$6,682.50","$7,751.70",8636,-,-,8637,-,-
10 Avisos Simples Combo,10,0,0,8611,"$3,067.88","$3,558.74",8608,-,-,8609,-,-
10 Avisos Destacados Combo Mensual,0,10,0,8652,"$6,142.50","$7,125.30",8666,-,-,8673,-,-
10 Avisos Superdestacados Combo,0,0,10,8656,"$12,339.68","$14,314.02",8670,"$74,038.05","$85,884.14",8677,"$148,076.10","$171,768.28"
30 Avisos Simples,30,0,0,8858,"$5,486.25","$6,364.05",8860,-,-,8861,-,-
25 Avisos Destacados Combo Mensual,0,25,0,8653,"$13,537.50","$15,703.50",8667,-,-,8674,-,-
25 Avisos Superdestacados Combo,0,0,25,8658,"$27,119.89","$31,459.07",8672,"$162,719.33","$188,754.42",8679,"$325,438.65","$377,508.83"
50 Avisos Simples Combo,50,0,0,8643,"$7,256.25","$8,417.25",8640,-,-,8641,-,-
50 Avisos Destacados Combo,0,50,0,20220,"$21,081.00","$24,453.96",20224,"$126,486.00","$146,723.76",20228,"$252,972.00","$293,447.52"
50 Avisos Superdestacados Combo,0,0,50,20221,"$37,548.00","$43,555.68",20225,"$225,288.00","$261,334.08",20229,"$450,576.00","$522,668.16"
80 Avisos Simples Combo,80,0,0,8651,"$9,371.25","$10,870.65",8648,-,-,8649,-,-
100 Avisos Simples Combo,100,0,0,8615,"$11,576.25","$13,428.45",8612,"$69,457.50","$80,570.70",8613,"$138,915.00","$161,141.40"
100 Avisos Destacados Combo,0,100,0,20222,"$34,032.60","$39,477.82",20226,"$204,195.60","$236,866.90",20230,"$408,391.20","$473,733.79"
100 Avisos Superdestacados Combo,0,0,100,20223,"$52,348.28","$60,724.00",20227,"$314,089.65","$364,343.99",20231,"$628,179.30","$728,687.99"
200 Avisos Simples Combo,200,0,0,8619,"$20,212.50","$23,446.50",8616,"$121,275.00","$140,679.00",8617,"$242,550.00","$281,358.00"
350 Avisos Simples Combo,350,0,0,8627,-,-,8624,-,-,8625,-,-
500 Avisos Simples Combo,500,0,0,8647,"$48,554.55","$56,323.28",8644,"$291,327.30","$337,939.67",8645,"$582,654.60","$675,879.34"
Pack Bolillo 5S + 1D Combo Mensual,5,1,0,20254,"$1,158.30","$1,343.63",,-,-,,-,-
Pack 10 Combo,5,5,0,8680,"$3,881.25","$4,502.25",8708,-,-,8722,-,-
Pack 15 Combo,10,5,0,8681,"$4,609.58","$5,347.11",8709,-,-,8723,-,-
