producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
5 Avisos Subsimples Combo Suscrip,0,0,0,10699,300.00,348.00,-,-,-,-,-,-
10 subsimples combo,0,0,0,10418,600.00,696.00,-,-,-,-,-,-
Aviso Simple Combo,1,0,0,8603,505.00,585.80,8600,-,-,8601,-,-
Aviso Destacado Combo,0,1,0,8599,1144.00,1327.04,8596,-,-,8597,-,-
Aviso Superdestacado Combo,0,0,1,8607,1577.00,1829.32,8604,-,-,8605,-,-
5 Avisos Simples Combo,5,0,0,8635,918.00,1064.88,8632,-,-,8633,-,-
5 Avisos Destacados Combo,0,5,0,8631,1485.00,1722.60,8628,-,-,8629,-,-
5 Avisos Superdestacados Combo,0,0,5,8639,2970.00,3445.20,8636,-,-,8637,-,-
10 Avisos Simples Combo,10,0,0,8611,1364.00,1582.24,8608,-,-,8609,-,-
10 Avisos Destacados Combo Mensual,0,10,0,8652,2730.00,3166.80,8666,-,-,8673,-,-
10 Avisos Superdestacados Combo,0,0,10,8656,5484.00,6361.44,8670,32906.00,38170.96,8677,65812.00,76341.92
30 Avisos Simples,30,0,0,8858,2310.00,2679.60,8860,-,-,8861,-,-
25 Avisos Destacados Combo Mensual,0,25,0,8653,5700.00,6612.00,8667,-,-,8674,-,-
25 Avisos Superdestacados Combo,0,0,25,8658,11419.00,13246.04,8672,68513.00,79475.08,8679,137027.00,158951.32
50 Avisos Simples Combo,50,0,0,8643,2903.00,3367.48,8640,-,-,8641,-,-
50 Avisos Destacados Combo,0,50,0,20220,8432.00,9781.12,20224,50594.00,58689.04,20228,101189.00,117379.24
50 Avisos Superdestacados Combo,0,0,50,20221,15019.00,17422.04,20225,90115.00,104533.40,20229,180230.00,209066.80
80 Avisos Simples Combo,80,0,0,8651,3749.00,4348.84,8648,-,-,8649,-,-
100 Avisos Simples Combo,100,0,0,8615,4410.00,5115.60,8612,26460.00,30693.60,8613,52920.00,61387.20
100 Avisos Destacados Combo,0,100,0,20222,12965.00,15039.40,20226,77789.00,90235.24,20230,155578.00,180470.48
100 Avisos Superdestacados Combo,0,0,100,20223,19942.00,23132.72,20227,119653.00,138797.48,20231,239306.00,277594.96
200 Avisos Simples Combo,200,0,0,8619,7350.00,8526.00,8616,44100.00,51156.00,8617,88200.00,102312.00
350 Avisos Simples Combo,350,0,0,8627,-,-,8624,-,-,8625,-,-
500 Avisos Simples Combo,500,0,0,8647,17656.00,20480.96,8644,105937.00,122886.92,8645,211874.00,245773.84
Pack Bolillo 5S + 1D Combo Mensual,5,1,0,20254,862.00,999.92,,,,,,
Pack 10 Combo,5,5,0,8680,1725.00,2001.00,8708,-,-,8722,-,-
Pack 15 Combo,10,5,0,8681,2049.00,2376.84,8709,-,-,8723,-,-
Pack 30 Combo,20,10,0,8682,2857.00,3314.12,8710,-,-,8724,-,-
Pack 50 Combo,35,15,0,8683,3800.00,4408.00,8711,-,-,8725,-,-
Pack 80 Combo,60,15,5,8684,6663.00,7729.08,8712,39978.00,46374.48,8726,79956.00,92748.96
Pack 100 Combo,75,20,5,8685,7763.00,9005.08,8713,46575.00,54027.00,8727,93150.00,108054.00
Pack 200 Combo,165,25,10,8686,12603.00,14619.48,8714,75618.00,87716.88,8728,151236.00,175433.76
Pack 350 Combo,290,42,18,8687,20658.00,23963.28,8715,123948.00,143779.68,8729,247896.00,287559.36
Pack 500 Combo,425,50,25,8688,23582.00,27355.12,8716,141494.00,164133.04,8730,282989.00,328267.24
Pack 700 Combo,610,63,27,8689,Baja,Baja,8717,Baja,Baja,8731,Baja,Baja
Pack 1000 Combo,870,90,40,8690,Baja,Baja,8718,Baja,Baja,8732,Baja,Baja
Pack 10 Premium,0,8,2,8691,3643.00,4225.88,8719,21859.00,25356.44,8733,43718.00,50712.88
Pack 25 Premium,0,18,7,8692,6632.00,7693.12,8720,39791.00,46157.56,8734,79582.00,92315.12
Pack 50 Premium,0,38,12,8693,11468.00,13302.88,8721,68809.00,79818.44,8735,137617.00,159635.72
Alquiler 10 Simples Suscrip,10,0,0,10695,952.00,1104.32,-,-,-,-,-,-
Alquiler 30 Simples Suscrip,30,0,0,10696,1617.00,1875.72,-,-,-,-,-,-
Alquiler 50 Simples Suscrip,50,0,0,10697,2030.00,2354.80,-,-,-,-,-,-
Alquiler 100 Simples Suscrip,100,0,0,10698,3087.00,3580.92,-,-,-,-,-,-
10 Avisos Simples Combo Low TXN Mens,10,0,0,10724,680.00,788.80,-,-,-,-,-,-
